77,84E06892-8AC8-CBDC-D8F3-66FFEDB3B954,Blues
78,70859DB7-1400-5C81-9B05-8A28B34CD540,Blues Ballad
79,0A58C2FD-57FD-3743-5D79-68E5B1AEC370,Blues Rock
80,E19FCDF0-D8EF-87E3-0FDC-970601AC709A,Bodabil
81,7D508B5A-C230-0ECC-384A-278447FA541B,Bohemian folk-dance
82,04D5D1A6-5498-80BF-8348-F875B476FC4D,Boogie
83,F3410E9F-81A1-F5FA-00A2-D091CE07DE83,Boogie-woogie
84,815FA42A-1A36-4362-898A-A717D4C6D028,Bossa Nova
85,955015DB-574A-4AA4-1AEC-0877D1CD22CD,Bounce
86,837C10AE-FEB1-4EF7-D8A2-E54084403D7D,Bouncy techno
87,3E76204B-4A73-7CE9-7FBC-F2E3B1D8D457,Bouyon
88,F9E6C08E-C687-6882-0F2F-ECB5C38D18A3,Brazilian Jazz
89,226D3DDB-23EB-F024-374C-FFC67D27AD5D,Brazilian thrash metal
90,3C938232-63F6-AB5F-6CAD-687DA7CC7BAB,Breakbeat
91,2D8C2B92-E66B-98F8-B81A-08DEC73065F3,Breakbeat hardcore
92,F45BEFD1-0B2B-AE6C-7E7C-E33A9DBA9D4A,Breakcore
93,3B3B2C45-63D1-9649-C531-B7991F6C943E,Brit Funk
94,AD043055-56D0-244B-9A66-977AE7901100,British Blues
95,D381E4DF-4570-6E73-585D-38D5EB3DE525,British Blues
96,CBDB5B16-320C-C0F6-F3C6-EBACD261E574,British Folk
97,E523BFFB-FDC5-F730-C3D3-DE964A8FFC46,British Folk Revival
98,835F23D0-BD7A-3D83-4314-692BD56F41DF,British Jazz
99,0D00A277-6193-DBA5-17E0-3998075ED2C0,British Pop
100,DF7BAB36-3417-7819-B500-D035150601C1,British Rock
101,0C3251A0-BEF8-B95A-D1A0-33482AEE9D2B,British Soul
102,4E3DE286-0A4A-C9F7-7463-B0C994607BD8,Britpop
103,02E49197-5809-DF05-AF3F-46B53CE7FC78,Broadway theatre
104,FD643B95-2C99-66B3-CC3D-6CE10AB452A1,Broken beat
105,4DA45711-E5B9-06D9-374E-DB1F33CA7CBD,Brown-eyed soul
106,47B095E2-BD1D-EB1F-6484-A460F87A96A8,Bubblegum
107,D66EE49F-68A9-2CC0-B53E-D6643B3ABDEF,Burger-highlife
108,1C250362-78A7-3D12-4E7F-EA5D40086BBF,Burgundian chanson
109,6BE472E0-2B36-17F6-7309-715C0AB44D0E,Bush Ballad
110,65A1B7B0-ECF1-DDD0-D380-75A89CD3B587,Bush music
111,4D6DE6D6-C2BC-25AB-9849-DF9B9DBF1035,C86
112,5163FC81-CD54-4959-21DB-42C921560F38,Cabaret
113,EAB2C452-5DC2-D61E-8F58-CD34B0B60478,Cadence Rampa
